酒蔵,ブランド,シリーズ,ブランド優先度,ブランド位置づけ,商品名,分類,甘辛目安,甘辛判定根拠,日本酒度,精米歩合,アルコール度数,おすすめの飲み方,飲み方情報,飲み方出典URL,使用米,容量,参考価格,流通区分,備考,出典URL,出典数
白牡丹酒造,白牡丹,,C,,広島上撰 金紋,普通酒・上撰,やや甘口,日本酒度からの目安,-2,70％,,常温 / ぬる燗 / 熱燗,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e4%b8%8a%e6%92%b0%e3%80%80%e9%87%91%e7%b4%8b-1-8l%e7%93%b6%e8%a9%b0/,国産米100％ 日本酒度 -2 酸度 1.1 アミノ酸度 0.9 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0,"200ml / 720ml / 1,800ml / 2,000ml","990～2,387円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e4%b8%8a%e6%92%b0%e3%80%80%e9%87%91%e7%b4%8b-1-8l%e7%93%b6%e8%a9%b0/,7
白牡丹酒造,白牡丹,,C,,広島上撰 金紋 原酒,普通酒・上撰,やや甘口,日本酒度からの目安,-2,70％,,常温 / ぬる燗 / 熱燗,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e4%b8%8a%e6%92%b0%e3%80%80%e9%87%91%e7%b4%8b%e3%80%80%e5%8e%9f%e9%85%92720ml%e7%93%b6%e8%a9%b0%e3%80%90/,国産米 日本酒度 -2 酸度 1.5 アミノ酸度 1.2 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011,720ml,990円,一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e4%b8%8a%e6%92%b0%e3%80%80%e9%87%91%e7%b4%8b%e3%80%80%e5%8e%9f%e9%85%92720ml%e7%93%b6%e8%a9%b0%e3%80%90/,1
白牡丹酒造,白牡丹,,C,,広島特撰 芳華金紋,普通酒・上撰,中口,日本酒度からの目安,+1,60％,,常温 / ぬる燗 / 熱燗,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e7%89%b9%e6%92%b0-1-8l%e7%93%b6%e8%a9%b0-2/,国産米100％ 日本酒度 +1 酸度 1.3 アミノ酸度 0.9 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0,"300ml / 1,800ml","539～2,794円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e7%89%b9%e6%92%b0-1-8l%e7%93%b6%e8%a9%b0-2/,2
白牡丹酒造,白牡丹,,C,,本醸造,本醸造,中口,日本酒度からの目安,+1,60％,,常温 / ぬる燗 / 熱燗,出典記載,https://www.hakubotan.co.jp/products/honjouzou-1-8l/,国産米100％ 日本酒度 +1 酸度 1.3 アミノ酸度 0.9 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0,,,一般流通,,https://www.hakubotan.co.jp/products/honjouzou-1-8l/,1
白牡丹酒造,白牡丹,,C,,本醸造 生貯蔵酒,本醸造,中口,日本酒度からの目安,+0.5,60％,,常温,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e6%9c%ac%e9%86%b8%e9%80%a0-%e7%94%9f%e8%b2%af%e8%94%b5%e9%85%92-300ml%e7%93%b6%e8%a9%b0/,国産米 日本酒度 +0.5 酸度 1.62 アミノ酸度 0.78 おすすめの飲み方 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広島県,180ml / 300ml,352～495円,一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e6%9c%ac%e9%86%b8%e9%80%a0-%e7%94%9f%e8%b2%af%e8%94%b5%e9%85%92-300ml%e7%93%b6%e8%a9%b0/,2
白牡丹酒造,白牡丹,,C,,ひろしま一途な純米酒 紅甘萬(べにかんまん),純米,甘口,日本酒度からの目安,-69,70％,,常温 / ぬる燗 / 燗酒,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e3%81%b2%e3%82%8d%e3%81%97%e3%81%be%e4%b8%80%e9%80%94%e3%81%aa%e7%b4%94%e7%b1%b3%e9%85%92%e3%80%80%e7%b4%85%e7%94%98%e8%90%ac/,国産米 日本酒度 -69 酸度 1.1 アミノ酸度 0.9 おすすめの飲み方 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広島,180ml,440円,一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e3%81%b2%e3%82%8d%e3%81%97%e3%81%be%e4%b8%80%e9%80%94%e3%81%aa%e7%b4%94%e7%b1%b3%e9%85%92%e3%80%80%e7%b4%85%e7%94%98%e8%90%ac/,2
白牡丹酒造,白牡丹,,C,,山田錦 純米酒,純米,中口,日本酒度からの目安,-1,70％,,常温 / ぬる燗,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%b1%b1%e7%94%b0%e9%8c%a6%e7%b4%94%e7%b1%b3%e9%85%921-8l%e7%93%b6%e8%a9%b0/,山田錦 日本酒度 -1 酸度 1.5 アミノ酸度 1.3 おすすめの飲み方 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0011 広島県,"720ml / 1,800ml","1,430～2,750円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%b1%b1%e7%94%b0%e9%8c%a6%e7%b4%94%e7%b1%b3%e9%85%921-8l%e7%93%b6%e8%a9%b0/,2
白牡丹酒造,白牡丹,,C,,新酒純米,純米,甘口,日本酒度からの目安,-4.5,70％,,常温 / ぬる燗 / 熱燗 / 燗酒,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e6%96%b0%e9%85%92%e7%b4%94%e7%b1%b3-1-8l%e7%93%b6%e8%a9%b0-2/,国産米 日本酒度 -4.5 酸度 2.14 アミノ酸度 1.02 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒739-0,"300ml / 720ml / 1,800ml","473～2,497円",季節商品,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e6%96%b0%e9%85%92%e7%b4%94%e7%b1%b3-1-8l%e7%93%b6%e8%a9%b0-2/,3
白牡丹酒造,藝陽男山,生酛,C,,生酛純米酒 夏仕込み,純米,辛口,日本酒度からの目安,+20.5,70％,,常温 / ぬる燗 / 熱燗,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e8%97%9d%e9%99%bd%e7%94%b7%e5%b1%b1%e3%80%91%e7%94%9f%e9%85%9b%e7%b4%94%e7%b1%b3%e9%85%92-%e5%a4%8f%e4%bb%95%e8%be%bc%e3%81%bf-720ml%e7%93%b6%e8%a9%b0/,中生新千本 日本酒度 +20.5 酸度 3.06 アミノ酸度 1.84 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒73,720ml,"2,200円",限定流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e8%97%9d%e9%99%bd%e7%94%b7%e5%b1%b1%e3%80%91%e7%94%9f%e9%85%9b%e7%b4%94%e7%b1%b3%e9%85%92-%e5%a4%8f%e4%bb%95%e8%be%bc%e3%81%bf-720ml%e7%93%b6%e8%a9%b0/,1
白牡丹酒造,藝陽男山,生酛,C,,生酛純米酒 夏仕込み おりがらみ,純米,辛口,日本酒度からの目安,+20.5,70％,,常温 / ぬる燗 / 熱燗,出典記載,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e8%97%9d%e9%99%bd%e7%94%b7%e5%b1%b1%e3%80%91%e7%94%9f%e9%85%9b%e7%b4%94%e7%b1%b3%e9%85%92-%e5%a4%8f%e4%bb%95%e8%be%bc%e3%81%bf-%e3%81%8a%e3%82%8a%e3%81%8c/,中生新千本 日本酒度 +20.5 酸度 3.06 アミノ酸度 1.84 おすすめの飲み方 熱燗 ぬる燗 常 温 冷 酒 公式ネットショップへ 一覧へ戻る 〒73,720ml,"2,200円",限定流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e8%97%9d%e9%99%bd%e7%94%b7%e5%b1%b1%e3%80%91%e7%94%9f%e9%85%9b%e7%b4%94%e7%b1%b3%e9%85%92-%e5%a4%8f%e4%bb%95%e8%be%bc%e3%81%bf-%e3%81%8a%e3%82%8a%e3%81%8c/,1
