酒蔵,元データ,処理,理由,統合先
亀齢酒造,亀齢萬年 純米大吟醸原酒五拾 袋吊りおりがらみ 生酒1.8L【製造年月2026年4月】,SKU統合,容量・包装・商品コード違いを商品単位へ統合,亀齢萬年 純米大吟醸原酒五拾 袋吊りおりがらみ 生酒
山陽鶴酒造,純米大吟醸 KUBO 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸 KUBO
白牡丹酒造,【凍結生酒】純米生酒 氷華 300ml瓶【日本酒 白牡丹】,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米生酒 氷華
白牡丹酒造,【夏酒】広島八反 純米大吟醸 原酒 ７２０ml瓶【日本酒 白牡丹】,SKU統合,容量・包装・商品コード違いを商品単位へ統合,広島八反 純米大吟醸 原酒
白牡丹酒造,【日本酒 白牡丹】 純米 サンフレカップ ２００ml詰30本入り,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米サンフレカップ
白牡丹酒造,【日本酒 白牡丹】Paeon(ピオン) ５００ml瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,Paeon(ピオン)
白牡丹酒造,【日本酒 白牡丹】すっきり旨口２０００ ２Ｌパック詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,すっきり旨口
白牡丹酒造,【日本酒 白牡丹】ひろしま一途な純米酒 紅甘萬 720ml瓶詰,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
白牡丹酒造,【日本酒 白牡丹】大吟醸 いちの雫７２０ml瓶詰 （しずく酒） クール便,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
白牡丹酒造,【日本酒 白牡丹】大吟醸 中汲み 1.8L瓶詰【流通限定】 - 白牡丹酒造,SKU統合,容量・包装・商品コード違いを商品単位へ統合,大吟醸 中汲み
白牡丹酒造,【日本酒 白牡丹】大吟醸 中汲み 720ml瓶詰【流通限定】 - 白牡丹酒造,SKU統合,容量・包装・商品コード違いを商品単位へ統合,大吟醸 中汲み
白牡丹酒造,【日本酒 白牡丹】大吟醸３００ml瓶詰 化粧箱入,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
白牡丹酒造,【日本酒 白牡丹】山田錦 米だけの酒３００ml瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米酒 山田錦 米だけの酒
白牡丹酒造,【日本酒 白牡丹】山田錦 米だけの酒９００mlパック詰,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
白牡丹酒造,【日本酒 白牡丹】山田錦 純米吟醸 うすにごり 720ml瓶,SKU統合,容量・包装・商品コード違いを商品単位へ統合,山田錦 純米吟醸 うすにごり
白牡丹酒造,【日本酒 白牡丹】山田錦 純米吟醸 うすにごり 720ml瓶詰 - 白牡丹酒造,SKU統合,容量・包装・商品コード違いを商品単位へ統合,山田錦 純米吟醸 うすにごり
白牡丹酒造,【日本酒 白牡丹】山田錦純米酒１．８Ｌ瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,山田錦 純米酒
白牡丹酒造,【日本酒 白牡丹】山田錦純米酒７２０ml瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,山田錦 純米酒
白牡丹酒造,【日本酒 白牡丹】広島の酒 原酒 ７２０ml瓶詰 蔵元限定,SKU統合,容量・包装・商品コード違いを商品単位へ統合,広島の酒
白牡丹酒造,【日本酒 白牡丹】広島の酒１．８Ｌ瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,広島の酒
白牡丹酒造,【日本酒 白牡丹】広島の酒２００mlライトカップ詰15本入り,SKU統合,容量・包装・商品コード違いを商品単位へ統合,広島の酒
白牡丹酒造,【日本酒 白牡丹】広島の酒２００mlライトカップ詰30本入り,SKU統合,容量・包装・商品コード違いを商品単位へ統合,広島の酒
白牡丹酒造,【日本酒 白牡丹】広島の酒２Ｌパック詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,広島の酒
白牡丹酒造,【日本酒 白牡丹】広島の酒３００ml瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,広島の酒
白牡丹酒造,【日本酒 白牡丹】広島の酒９００mlパック詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,広島の酒
白牡丹酒造,【日本酒 白牡丹】広島上撰 金紋 原酒 720ml瓶詰【限定酒】 - 白牡丹酒造,SKU統合,容量・包装・商品コード違いを商品単位へ統合,広島上撰 金紋
白牡丹酒造,【日本酒 白牡丹】広島上撰 金紋１．８Ｌ瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,広島上撰 金紋
白牡丹酒造,【日本酒 白牡丹】広島上撰 金紋２００mlライトカップ詰15本入り,SKU統合,容量・包装・商品コード違いを商品単位へ統合,広島上撰 金紋
白牡丹酒造,【日本酒 白牡丹】広島上撰 金紋２Ｌパック詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,広島上撰 金紋
白牡丹酒造,【日本酒 白牡丹】広島八反 純米吟醸１．８Ｌ瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,広島八反 純米吟醸
