酒蔵,元データ,処理,理由,統合先
賀茂泉酒造,*純米吟醸「緑泉本仕込」720ｍｌ,SKU統合,容量・包装・商品コード違いを商品単位へ統合,緑泉本仕込
賀茂泉酒造,*純米大吟醸500ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸
賀茂泉酒造,*純米大吟醸「延寿」1.8L箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸
賀茂泉酒造,*純米大吟醸「延寿」300mlクリアケース入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸
賀茂泉酒造,*純米大吟醸「延寿」720ml箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸
賀茂泉酒造,*純米大吟醸「皇寿」木箱入 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸
賀茂泉酒造,*純米大吟醸「皇寿」木箱入 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸
賀茂泉酒造,*純米大吟醸｢広大｣720ml 化粧箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸｢広大｣
賀茂泉酒造,*純米酒 一 (はじめ)1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米酒 一 (はじめ)
賀茂泉酒造,*純米酒 一 (はじめ)300ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米酒 一 (はじめ)
賀茂泉酒造,*純米酒 一 (はじめ)720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米酒 一 (はじめ)
賀茂泉酒造,*純米酒｢広大｣ 1.8L,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米酒｢広大｣
賀茂泉酒造,*緑泉普通酒1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,緑泉普通酒
賀茂泉酒造,*緑泉普通酒紙パック1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,緑泉普通酒
賀茂泉酒造,*造賀純米酒1.8L,SKU統合,容量・包装・商品コード違いを商品単位へ統合,造賀純米酒
賀茂泉酒造,*造賀純米酒720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,造賀純米酒
賀茂泉酒造,NAO500ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,NAO
賀茂泉酒造,Rock Hopper Moon Walk 1.8L,SKU統合,容量・包装・商品コード違いを商品単位へ統合,Rock Hopper Moon Walk
賀茂泉酒造,Rock Hopper Moon Walk 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,Rock Hopper Moon Walk
賀茂泉酒造,広島純米「潤いマスク」/3枚入り,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂泉酒造,朱泉2斗本菰巻樽揚げ底18L（2斗樽）,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂泉酒造,朱泉4斗本菰巻樽揚げ底36L（4斗樽）,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂泉酒造,朱泉本菰巻樽18L（１斗樽）,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂泉酒造,朱泉本菰巻樽36L（2斗樽）,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂泉酒造,朱泉本菰巻樽72L（4斗樽）,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂泉酒造,純米及川1.8L,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米及川
賀茂泉酒造,純米及川720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米及川
賀茂泉酒造,純米吟醸生原酒 RockHopper 1.8L,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸生原酒 ROCK HOPPER
賀茂泉酒造,純米吟醸生原酒 RockHopper 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸生原酒 ROCK HOPPER
賀茂泉酒造,純米大吟醸「壽」木箱入 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸
賀茂泉酒造,純米大吟醸「壽」木箱入 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸
賀茂泉酒造,純米大吟醸「皇寿」180ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸
賀茂泉酒造,賀茂泉 ROCK HOPPER 純米吟醸 無濾過生原酒 720ml【製造年月2026年4月】,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂泉酒造,賀茂泉 純米吟醸古酒720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸「古酒」
賀茂泉酒造,賀茂泉 純米吟醸山吹色の酒 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,山吹色の酒
賀茂泉酒造,賀茂泉 純米大吟醸「壽」720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸
賀茂泉酒造,青泉 本仕込 生酒 300ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,青泉 本仕込 生酒
賀茂泉酒造,青泉 本仕込 生酒 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,青泉 本仕込 生酒
賀茂鶴酒造,UNDER 30 純米酒 720ML,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,【2026蔵開き限定】純米大吟醸 山田錦 精米歩合38%〈共通化粧箱入〉,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,【オリジナルラベル】純米大吟醸 大吟峰720ml (DK-B1) 木箱入,除外,セット・ギフト・特別包装SKUのため商品一覧から除外,
賀茂鶴酒造,【オンライストア限定・数量限定】花咲かじいさん 純米吟醸 萌えいぶき 〈共通化粧箱入〉,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
賀茂鶴酒造,【再販】龍が如く銘酒 大吟醸 堂島の龍,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,【取扱い店限定酒】酒中在心 橙 純米吟醸 生もと 八反35号 1.8L,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
賀茂鶴酒造,【取扱い店限定酒】酒中在心 橙 純米吟醸 生もと 八反35号 720ml〈共通化粧箱入〉,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
賀茂鶴酒造,【取扱い店限定酒】酒中在心 茜 純米酒 広島錦1.8L,SKU統合,容量・包装・商品コード違いを商品単位へ統合,酒中在心 茜 純米酒 広島錦
賀茂鶴酒造,【取扱い店限定酒】酒中在心 茜 純米酒 広島錦720ＭL〈共通化粧箱入〉,SKU統合,容量・包装・商品コード違いを商品単位へ統合,酒中在心 茜 純米酒 広島錦
賀茂鶴酒造,【取扱い店限定酒】酒中在心 藍 特別純米酒 生もと 雄町 1.8L,SKU統合,容量・包装・商品コード違いを商品単位へ統合,酒中在心 藍 特別純米酒 生もと 雄町
賀茂鶴酒造,【取扱い店限定酒】酒中在心 藍 特別純米酒 生もと 雄町 720ml〈共通化粧箱入〉,SKU統合,容量・包装・商品コード違いを商品単位へ統合,酒中在心 藍 特別純米酒 生もと 雄町
賀茂鶴酒造,【取扱い店限定酒】酒中在心 鶯 純米大吟醸 山田錦 720ml〈共通化粧箱入〉,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,【蔵元限定酒】純米大吟醸 広島錦 精米歩合38% 超辛口 720ml〈共通化粧箱入〉,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸 広島錦
賀茂鶴酒造,ゴールド賀茂鶴720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,大吟醸 特製ゴールド賀茂鶴
賀茂鶴酒造,スパークリング日本酒 賀茂鶴光壽 750ml 化粧箱入,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,上撰パック 1.8L,SKU統合,容量・包装・商品コード違いを商品単位へ統合,上撰パック
賀茂鶴酒造,上撰パック 900ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,上撰パック
賀茂鶴酒造,吟醸辛口 300ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,吟醸辛口
賀茂鶴酒造,吟醸辛口 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,吟醸辛口
賀茂鶴酒造,大吟醸 吉祥 賀茂鶴 720ml 化粧箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,大吟醸 賀茂鶴 双鶴
賀茂鶴酒造,大吟醸 吟凛雅 900ml 化粧箱入,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,大吟醸 天凜 1.8L 木箱入,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,大吟醸 天凜 720ml 木箱入,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,大吟醸 特製ゴールド賀茂鶴 180ml 丸瓶,SKU統合,容量・包装・商品コード違いを商品単位へ統合,大吟醸 特製ゴールド賀茂鶴
賀茂鶴酒造,大吟醸 特製ゴールド賀茂鶴 180ml 角瓶,SKU統合,容量・包装・商品コード違いを商品単位へ統合,大吟醸 特製ゴールド賀茂鶴
賀茂鶴酒造,大吟醸 特製ゴールド賀茂鶴 300ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,大吟醸 特製ゴールド賀茂鶴
賀茂鶴酒造,大吟醸 特製ゴールド賀茂鶴 720ml (GK-B2) 2本化粧箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,大吟醸 特製ゴールド賀茂鶴
賀茂鶴酒造,大吟醸 特製ゴールド賀茂鶴1.8L(GK-A1) 化粧箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,大吟醸 特製ゴールド賀茂鶴
賀茂鶴酒造,大吟醸 特製ゴールド賀茂鶴1.8L(GK-A2) 2本化粧箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,大吟醸 特製ゴールド賀茂鶴
賀茂鶴酒造,大吟醸 特製ゴールド賀茂鶴720ml（GK-B1）化粧箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,大吟醸 特製ゴールド賀茂鶴
賀茂鶴酒造,大吟醸 賀茂鶴 双鶴1.8L（SK-A1)化粧箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,大吟醸 賀茂鶴 双鶴
賀茂鶴酒造,大吟醸 賀茂鶴 双鶴180ml 化粧箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,大吟醸 賀茂鶴 双鶴
賀茂鶴酒造,大吟醸 賀茂鶴 双鶴720ml(SK-B1) 化粧箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,大吟醸 賀茂鶴 双鶴
賀茂鶴酒造,大吟醸 賀茂鶴 双鶴720ml（SK-B2)2本木箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,大吟醸 賀茂鶴 双鶴
賀茂鶴酒造,大吟醸 限定搾汁 720ML〈専用化粧箱入〉,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,季節限定酒 大吟醸原酒 あらばしり 720ｍｌ,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,季節限定酒 本醸造生貯蔵酒 ひやしざけ 720ｍl,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,季節限定酒 純米 しぼりたて 1.8L,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,季節限定酒 純米 しぼりたて 720ML,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,季節限定酒 純米酒 ひやおろし 720ML,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,広島レモン＆純米吟醸酒の牡蛎オイル漬け,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
賀茂鶴酒造,本醸造 からくち 1.8L,SKU統合,容量・包装・商品コード違いを商品単位へ統合,本醸造 からくち
賀茂鶴酒造,本醸造 からくち 1.8L 6本 ダンボール輸送箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,本醸造 からくち
賀茂鶴酒造,本醸造 からくち 300ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,本醸造 からくち
賀茂鶴酒造,本醸造 からくち 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,本醸造 からくち
賀茂鶴酒造,本醸造 上等酒 1.8L,SKU統合,容量・包装・商品コード違いを商品単位へ統合,本醸造 上等酒
賀茂鶴酒造,本醸造 上等酒 1.8L ６本ダンボール輸送箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,本醸造 上等酒
賀茂鶴酒造,本醸造 上等酒 180ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,本醸造 上等酒
賀茂鶴酒造,本醸造 上等酒 180ml カップ,SKU統合,容量・包装・商品コード違いを商品単位へ統合,本醸造 上等酒
賀茂鶴酒造,本醸造 上等酒 300ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,本醸造 上等酒
賀茂鶴酒造,本醸造 上等酒 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,本醸造 上等酒
賀茂鶴酒造,本醸造からくち 180ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,本醸造 からくち
賀茂鶴酒造,本醸造からくち 180ml カップ,SKU統合,容量・包装・商品コード違いを商品単位へ統合,本醸造 からくち
賀茂鶴酒造,特別本醸造 蔵出し原酒 720ml【賀茂鶴メンバーズ限定】,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,特別本醸造 超特撰特等酒 1.8L,SKU統合,容量・包装・商品コード違いを商品単位へ統合,特別本醸造 超特撰特等酒
賀茂鶴酒造,特別本醸造 超特撰特等酒 1.8L ６本ダンボール輸送箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,特別本醸造 超特撰特等酒
賀茂鶴酒造,特別本醸造 超特撰特等酒 300ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,特別本醸造 超特撰特等酒
賀茂鶴酒造,特別本醸造 超特撰特等酒 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,特別本醸造 超特撰特等酒
賀茂鶴酒造,特別本醸造 超特撰特等酒1.8L (TK-2) 2本化粧箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,特別本醸造 超特撰特等酒
賀茂鶴酒造,生囲い純米 300ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,生囲い純米 720ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,純米吟醸 1.8L (GP-A1) 化粧箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
賀茂鶴酒造,純米吟醸 300ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
賀茂鶴酒造,純米吟醸 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
賀茂鶴酒造,純米吟醸 一滴入魂 300ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
賀茂鶴酒造,純米吟醸 一滴入魂 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
賀茂鶴酒造,純米吟醸 一滴入魂1.8L （IN-A1) 化粧箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
賀茂鶴酒造,純米吟醸 五 720ｍｌ【賀茂鶴メンバーズ限定】,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
賀茂鶴酒造,純米大吟醸 大吟峰1.8L (DK-A1) 木箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸 大吟峰
賀茂鶴酒造,純米大吟醸 大吟峰720ml(DK-B1) 木箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸 大吟峰
賀茂鶴酒造,純米大吟醸 広島錦 180ml 化粧箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸 広島錦
賀茂鶴酒造,純米大吟醸 広島錦 720ml(HK-B1) 化粧箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸 広島錦
賀茂鶴酒造,純米大吟醸 広系酒33号 720ml【賀茂鶴メンバーズ限定】,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,純米大吟醸 瑞兆賀茂鶴 720ml 化粧箱入,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,純米酒 1.8L,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米酒
賀茂鶴酒造,純米酒 1.8L ６本 ダンボール輸送箱入,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,純米酒 180ml カップ,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米酒
賀茂鶴酒造,純米酒 300ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米酒
賀茂鶴酒造,純米酒 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米酒
賀茂鶴酒造,純米酒にごり酒 720ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,角樽 特別本醸造 超特撰特等酒 1.8L 化粧箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,特別本醸造 超特撰特等酒
賀茂鶴酒造,賀茂鶴 吟醸辛口1.8L (LG-A1) 化粧箱入,SKU統合,容量・包装・商品コード違いを商品単位へ統合,吟醸辛口
賀茂鶴酒造,賀茂鶴 大吟醸 双鶴 1.8L,SKU統合,容量・包装・商品コード違いを商品単位へ統合,大吟醸 賀茂鶴 双鶴
賀茂鶴酒造,賀茂鶴 純米吟醸酒720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
賀茂鶴酒造,賀茂鶴オリジナル チロリ（ステンレス製） １合,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,青冴え 2026 純米吟醸生原酒 720ML 【要冷蔵】,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
賀茂鶴酒造,龍が如く日本酒 純米大吟醸 春日一番 720ML【公式コラボ銘酒】,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂鶴酒造,龍が如く銘酒 純米大吟醸 嶋野の狂犬,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
白牡丹酒造,【日本酒 白牡丹】大吟醸 720ml瓶詰,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
白牡丹酒造,【日本酒 白牡丹】大吟醸 1.8L瓶詰,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
山陽鶴酒造,山陽鶴 大吟醸 ほんと 720ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
亀齢酒造,亀齢 上撰 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,亀齢 上撰
