酒蔵,商品名,容量ml,JAN,商品コード,価格円税込,販売状態,在庫状態,販売チャネル,業務卸可否,輸出可否,要冷蔵,確認日,主出典ID,出典種別,URL,出典数,代替URL,備考
亀齢酒造,亀齢 純米吟醸 原形精米 migaki 萌えいぶき 生酒 720ml【製造年月2026年5月】,720,,,1815,販売中,不明,通常/不明,未確認,未確認,要冷蔵,2026-09-05,CSKU_AAA719A295D4,retailer_current,https://www.hiroshimasake.com/product/580,1,,現行酒販店ECで流通確認。蔵元の業務卸可否は未確認
亀齢酒造,亀齢 辛口純米 八拾 生酒720ml【製造年月：2025年12月】,720,,,1430,販売中,不明,通常/不明,未確認,未確認,要冷蔵,2026-09-05,CSKU_0B69B98A00B0,retailer_current,https://www.hiroshimasake.com/product/247,1,,現行酒販店ECで流通確認。蔵元の業務卸可否は未確認
亀齢酒造,亀齢 辛口純米 八拾(生酒) 【製造年月：2025年12月】1.8L,1800,,,2500,販売中,不明,通常/不明,未確認,未確認,要冷蔵,2026-09-05,CSKU_30E18331357E,retailer_current,https://www.hiroshimasake.com/product/96,1,,現行酒販店ECで流通確認。蔵元の業務卸可否は未確認
亀齢酒造,亀齢 辛口純米 八拾1.8L,1800,,,2500,販売中,在庫あり,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_BD7E73A7AF42,retailer_current,https://www.hiroshimasake.com/product/37,1,,現行酒販店ECで流通確認。蔵元の業務卸可否は未確認
亀齢酒造,亀齢 辛口純米 八拾720ml,720,,,1430,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_95EA505B7CD8,retailer_current,https://www.hiroshimasake.com/product/52,1,,現行酒販店ECで流通確認。蔵元の業務卸可否は未確認
亀齢酒造,亀齢萬年 純米大吟醸原酒五拾 生酒 720ml【製造年月2026年4月】,720,,,2200,不明,売切,通常/不明,未確認,未確認,要冷蔵,2026-09-05,CSKU_9DA9B42881EF,retailer_current,https://www.hiroshimasake.com/product/553,1,,現行酒販店ECで流通確認。蔵元の業務卸可否は未確認
亀齢酒造,亀齢萬年 純米大吟醸原酒五拾 生酒1.8L【製造年月2026年4月】,1800,,,3960,販売中,不明,通常/不明,未確認,未確認,要冷蔵,2026-09-05,CSKU_9AABB0C4D005,retailer_current,https://www.hiroshimasake.com/product/552,1,,現行酒販店ECで流通確認。蔵元の業務卸可否は未確認
亀齢酒造,亀齢萬年 純米大吟醸原酒五拾 袋吊りおりがらみ 生酒 720ml【製造年月2026年4月】,720,,,2420,不明,売切,通常/不明,未確認,未確認,要冷蔵,2026-09-05,CSKU_3296FAEC85E5,retailer_current,https://www.hiroshimasake.com/product/577,1,,現行酒販店ECで流通確認。蔵元の業務卸可否は未確認
亀齢酒造,亀齢萬年 純米大吟醸原酒五拾 袋吊りおりがらみ 生酒1.8L【製造年月2026年4月】,1800,,,4400,販売中,不明,通常/不明,未確認,未確認,要冷蔵,2026-09-05,CSKU_C25B0748E0EB,retailer_current,https://www.hiroshimasake.com/product/412,1,,現行酒販店ECで流通確認。蔵元の業務卸可否は未確認
今田酒造本店,FUKUCHO LEGACY I 500ml,500,,,33000,販売中,在庫あり,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_AC4892B4E3D2,official_ec_api,https://fukucho.jp/products/legacy1,1,,公式Shopify商品APIで販売可能
今田酒造本店,FUKUCHO LEGACY II 500ml,500,,,33000,販売中,在庫あり,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_317C4D11594E,official_ec_api,https://fukucho.jp/products/legacy2,1,,公式Shopify商品APIで販売可能
今田酒造本店,Fukucho “Forgotten Fortune” Junmai Sake 720ml,720,,,0,不明,売切,海外限定,未確認,確認済み,不明,2026-09-05,CSKU_525B0514A4F2,official_ec_api,https://fukucho.jp/products/forgottenfortune,1,,公式Shopify掲載だが当該バリアント在庫なし / アメリカ限定
今田酒造本店,Fukucho “Moon on the Water” Junmai Ginjo Sake 720ml,720,,,0,不明,売切,海外限定,未確認,確認済み,不明,2026-09-05,CSKU_93D730E67267,official_ec_api,https://fukucho.jp/products/moononthewater,1,,公式Shopify掲載だが当該バリアント在庫なし / アメリカ限定
今田酒造本店,Fukucho “Seaside” Junmai Sparkling Sake 500ml,500,,,0,不明,売切,海外限定,未確認,確認済み,不明,2026-09-05,CSKU_E69849A28856,official_ec_api,https://fukucho.jp/products/seasidesparkling,1,,公式Shopify掲載だが当該バリアント在庫なし / アメリカ限定
