酒蔵,ブランド,シリーズ,主要銘柄,商品名,分類,甘辛目安,日本酒度,精米歩合,アルコール度数,飲み方,使用米,容量,参考価格,流通区分,備考,出典URL
白牡丹酒造,白牡丹,,,山田錦 純米大吟醸 氷華,純米大吟醸,やや甘口,-1.5,50％,,常温 / 冷酒,山田錦,,,一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e5%87%8d%e7%b5%90%e7%94%9f%e9%85%92%e3%80%91%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%b1%b1%e7%94%b0%e9%8c%a6-%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f%e9%86%b8/
白牡丹酒造,白牡丹,,,広島八反 純米大吟醸 原酒,純米大吟醸,中口,-0.5,50％,,常温,八反35号,720ml,"2,200円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e5%85%ab%e5%8f%8d-%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f%e9%86%b8-%e5%8e%9f%e9%85%92720ml%e7%93%b6%e8%a9%b0/
白牡丹酒造,白牡丹,,,広島八反 純米大吟醸 氷華,純米大吟醸,中口,0,50％,,常温 / 冷酒,八反35号,,,一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e5%87%8d%e7%b5%90%e7%94%9f%e9%85%92%e3%80%91%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e5%85%ab%e5%8f%8d-%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f/
白牡丹酒造,白牡丹,,,純米大吟醸 令和一号酵母,純米大吟醸,甘口,-4.5,50％,,常温 / ぬる燗,山田錦,720ml,"2,750円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f%e9%86%b8-%e4%bb%a4%e5%92%8c%e4%b8%80%e5%8f%b7%e9%85%b5%e6%af%8d-720ml%e7%93%b6%e8%a9%b0/
白牡丹酒造,白牡丹,,,純米大吟醸 悠星(ゆうせい),純米大吟醸,中口,-0.5,50％,,常温,八反35号,720ml,"2,970円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f%e9%86%b8-%e6%82%a0%e6%98%9f%e3%82%86%e3%81%86%e3%81%9b%e3%81%84720ml%e7%93%b6%e8%a9%b0/
白牡丹酒造,白牡丹,,,純米大吟醸 龍王井,純米大吟醸,やや甘口,-1.5,48％,,常温,中生新千本,300ml,,輸出・海外向け,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e9%be%8d%e7%8e%8b%e4%ba%95-300ml%e7%93%b6%e8%a9%b0%e3%80%90%e8%bc%b8%e5%87%ba/
西條鶴醸造,西條鶴,,○,吟醸酒「ゴールド西條鶴」,吟醸,不明,,,,冷酒 / 常温 / ぬる燗,,720ml,,一般流通,,https://saijotsuru.co.jp/?pid=157617449
西條鶴醸造,西條鶴,,○,純米酒「大地の風」,純米,不明,,,,冷酒 / 常温 / 熱燗,,"720ml / 1,800ml",,一般流通,,https://saijotsuru.co.jp/?pid=157617524
西條鶴醸造,西條鶴,,○,辛口純米酒『きんさいや』,純米,辛口,,,,要確認,,500ml,,一般流通,,https://saijotsuru.co.jp/?pid=189850838
西條鶴醸造,西條鶴,,○,純米吟醸「大地の冠」,純米吟醸,不明,,,,要確認,,"720ml / 1,800ml",,一般流通,,https://saijotsuru.co.jp/?pid=157617368
