酒蔵,ブランド,シリーズ,主要銘柄,商品名,分類,甘辛目安,日本酒度,精米歩合,アルコール度数,飲み方,使用米,容量,参考価格,流通区分,備考,出典URL
賀茂鶴酒造,賀茂鶴,,○,大吟醸 特製ゴールド賀茂鶴,大吟醸,不明,,,,冷酒 / 燗酒,,"180ml / 300ml / 720ml / 1,800ml","702～6,050円",一般流通,,https://shop.kamotsuru.jp/SHOP/GK-A2.html
賀茂鶴酒造,賀茂鶴,,○,本醸造 からくち,本醸造,不明,,,,冷酒 / 燗酒,,"180ml / 300ml / 720ml / 1,800ml","319～2,310円",一般流通,,https://shop.kamotsuru.jp/SHOP/honkara1800.html
賀茂鶴酒造,賀茂鶴,,○,特別本醸造 超特撰特等酒,特別本醸造,不明,,,,冷酒 / ぬる燗 / 燗酒,,"300ml / 720ml / 1,800ml","704～3,630円",一般流通,,https://shop.kamotsuru.jp/SHOP/tokutou1800.html
賀茂鶴酒造,賀茂鶴,,○,純米吟醸 一滴入魂,純米吟醸,不明,,,,要確認,,"300ml / 720ml / 1,800ml","583～3,630円",一般流通,公式直営ECで販売中を確認。SKU層から商品層へ補完。,https://shop.kamotsuru.jp/SHOP/itteki720.html
賀茂鶴酒造,酒中在心,,○,酒中在心 橙 純米吟醸 生もと 八反35号,純米吟醸,不明,,60％,16度以上17度未満,冷酒 / 常温 / ぬる燗 / 燗酒,八反35号,"720ml / 1,800ml","2,178～3,608円",限定流通,,https://shop.kamotsuru.jp/SHOP/shutyuzaishin-daidai_1800.html
賀茂鶴酒造,賀茂鶴,,,賀茂鶴 光壽,その他,不明,,28%,,要確認,,750ml,"14,300円",一般流通,公式直営ECで販売中を確認。SKU層から商品層へ補完。,https://shop.kamotsuru.jp/SHOP/kouju750.html
賀茂鶴酒造,賀茂鶴,,,吟醸辛口,吟醸,辛口,,,,冷酒 / 燗酒,,"300ml / 720ml / 1,800ml","638～3,993円",一般流通,,https://shop.kamotsuru.jp/SHOP/LG-A1.html
賀茂鶴酒造,賀茂鶴,,,大吟醸 吉祥 賀茂鶴,大吟醸,不明,,,,要確認,,720ml,"13,200円",一般流通,公式直営ECで販売中を確認。SKU層から商品層へ補完。,https://shop.kamotsuru.jp/SHOP/kissho720.html
賀茂鶴酒造,賀茂鶴,,,大吟醸 吟凛雅,大吟醸,不明,,,,要確認,,900ml,"33,000円",一般流通,公式直営ECで販売中を確認。SKU層から商品層へ補完。,https://shop.kamotsuru.jp/SHOP/ginringa900.html
賀茂鶴酒造,賀茂鶴,,,大吟醸 天凜,大吟醸,不明,,,,要確認,,720ml,"18,150円",一般流通,公式直営ECで販売中を確認。SKU層から商品層へ補完。,https://shop.kamotsuru.jp/SHOP/tenrin720.html
賀茂鶴酒造,賀茂鶴,,,大吟醸 賀茂鶴 双鶴,大吟醸,不明,,32％,,冷酒 / 燗酒,,"180ml / 720ml / 1,800ml","1,500～13,200円",一般流通,,https://shop.kamotsuru.jp/SHOP/SK-A1.html
賀茂鶴酒造,賀茂鶴,,,大吟醸 限定搾汁,大吟醸,不明,,50%,15度以上16度未満,ロック / 冷酒 / 常温,山田錦100%,720ml,"2,530円",季節商品,年末年始限定・公式EC現行ページでは売切,https://shop.kamotsuru.jp/SHOP/346519/346484/list.html
賀茂鶴酒造,賀茂鶴,,,大吟醸原酒 あらばしり,大吟醸,不明,,,,要確認,,720ml,"2,310円",季節商品,季節限定・公式EC現行ページでは売切,https://shop.kamotsuru.jp/SHOP/346440/346519/list.html
賀茂鶴酒造,賀茂鶴,,,上撰パック,普通酒・上撰,不明,,,,冷酒 / ぬる燗 / 熱燗 / 燗酒,,"900ml / 1,800ml","1,098～2,198円",一般流通,,https://shop.kamotsuru.jp/SHOP/jousenpack1800.html
賀茂鶴酒造,賀茂鶴,,,樽酒,普通酒・上撰,不明,,,,冷酒 / ぬる燗 / 燗酒,,"720ml / 1,800ml","1,760～3,410円",一般流通,,https://shop.kamotsuru.jp/SHOP/taruzake1800.html
賀茂鶴酒造,賀茂鶴,,,生貯蔵酒 冷温「蔵生」囲い,普通酒・上撰,不明,,,,冷酒 / 燗酒,,"300ml / 720ml / 1,800ml","473～2,640円",一般流通,,https://shop.kamotsuru.jp/SHOP/kuranama1800.html
賀茂鶴酒造,賀茂鶴,,,白壁の郷,普通酒・上撰,不明,,,,冷酒 / 熱燗 / 燗酒,,"720ml / 1,800ml","1,133～2,475円",一般流通,,https://shop.kamotsuru.jp/SHOP/sirakabe1800.html
賀茂鶴酒造,賀茂鶴,,,豊醇冷酒,普通酒・上撰,やや甘口,,,,冷酒,,300ml / 720ml,"506～1,188円",一般流通,2026-09-06現行性を公式情報で再確認,https://shop.kamotsuru.jp/SHOP/346437/346505/list.html
賀茂鶴酒造,賀茂鶴,,,金紋,普通酒・上撰,不明,,,,冷酒 / 燗酒,,"1,800ml","2,420円",一般流通,,https://shop.kamotsuru.jp/SHOP/kinmon1800.html
賀茂鶴酒造,賀茂鶴,,,本醸造 上等酒,本醸造,不明,,,,冷酒 / ぬる燗 / 熱燗 / 燗酒,,"180ml / 300ml / 720ml / 1,800ml","330～2,618円",一般流通,,https://shop.kamotsuru.jp/SHOP/joutou1800.html
賀茂鶴酒造,賀茂鶴,,,本醸造生貯蔵酒 ひやしざけ,本醸造,不明,,,,要確認,,720ml,"1,430円",季節商品,2026-09-06現行性を公式情報で再確認,https://shop.kamotsuru.jp/SHOP/hiyashizake720.html
賀茂鶴酒造,賀茂鶴,,,特別本醸造 蔵出し原酒,特別本醸造,不明,,,,要確認,,720ml,"1,870円",限定流通,2026-09-06現行性を公式情報で再確認,https://shop.kamotsuru.jp/SHOP/kuradashi-genshu720.html
賀茂鶴酒造,酒中在心,,,酒中在心 藍 特別純米酒 生もと 雄町,特別純米,不明,,60％,16度以上17度未満,冷酒 / 常温 / ぬる燗 / 燗酒,雄町,"720ml / 1,800ml","2,178～3,608円",限定流通,,https://shop.kamotsuru.jp/SHOP/shutyuzaishin-ai_1800.html
賀茂鶴酒造,賀茂鶴,,,UNDER 30 純米酒,純米,不明,,,,要確認,,720ml,"1,430円",限定流通,公式EC現行商品・売切,https://shop.kamotsuru.jp/SHOP/under30junmai-shu720ml.html
賀茂鶴酒造,賀茂鶴,,,生囲い純米,純米,不明,,,,要確認,,300ml / 720ml,"528～1,298円",一般流通,2026-09-06現行性を公式情報で再確認,https://shop.kamotsuru.jp/SHOP/namakakoi-junmai720.html
賀茂鶴酒造,賀茂鶴,,,純米酒,純米,不明,,,,冷酒 / 冷やして / 燗酒,のもつ旨味と純米特有の酸味とがほどよくマッチした爽やかな辛口純米酒,"180ml / 300ml / 720ml / 1,800ml","308～2,662円",一般流通,,https://shop.kamotsuru.jp/SHOP/junmai1800.html
賀茂鶴酒造,賀茂鶴,,,純米酒 しぼりたて,純米,不明,,65%,15度以上16度未満,冷酒 / 常温,,"720ml / 1,800ml","1,485～3,080円",季節商品,2026-09-06現行性を公式情報で再確認,https://shop.kamotsuru.jp/SHOP/346519/346479/list.html
賀茂鶴酒造,賀茂鶴,,,純米酒 にごり酒,純米,不明,,,,要確認,,720ml,"1,430円",季節商品,2026-09-06現行性を公式情報で再確認,https://shop.kamotsuru.jp/SHOP/346519/346502/list.html
賀茂鶴酒造,賀茂鶴,,,純米酒 ひやおろし,純米,不明,,,,要確認,,720ml,"1,760円",季節商品,2026-09-06現行性を公式情報で再確認,https://shop.kamotsuru.jp/SHOP/hiyaoroshi720.html
賀茂鶴酒造,酒中在心,,,酒中在心 茜 純米酒 広島錦,純米,不明,,65％,15度以上16度未満,冷酒 / 常温 / ぬる燗 / 燗酒,広島錦100%,"720ml / 1,800ml","1,815～3,190円",限定流通,,https://shop.kamotsuru.jp/SHOP/shutyuzaishin-akane_1800.html
賀茂鶴酒造,賀茂鶴,,,純米吟醸,純米吟醸,不明,,,,冷酒 / ぬる燗 / 燗酒,,"300ml / 720ml / 1,800ml","638～3,993円",限定流通,,https://shop.kamotsuru.jp/SHOP/GP-A1.html
賀茂鶴酒造,賀茂鶴,,,純米吟醸 五,純米吟醸,不明,,,,要確認,,720ml,"1,815円",限定流通,2026-09-06現行性を公式情報で再確認,https://shop.kamotsuru.jp/SHOP/junmaiginjo-go.html
賀茂鶴酒造,賀茂鶴,,,花咲かじいさん 純米吟醸 萌えいぶき,純米吟醸,不明,,,,要確認,,720ml,"2,200円",限定流通,オンラインストア限定・数量限定。公式ECでは売切,https://shop.kamotsuru.jp/SHOP/346441/346462/list.html
賀茂鶴酒造,賀茂鶴,,,青冴え 2026 純米吟醸生原酒,純米吟醸,不明,,,,要確認,,720ml,"2,090円",季節商品,2026年現行限定商品・公式ECでは売切,https://shop.kamotsuru.jp/SHOP/346441/346462/list.html
賀茂鶴酒造,賀茂鶴,,,2026蔵開き限定 純米大吟醸 山田錦 精米歩合38%,純米大吟醸,不明,,38%,16度以上17度未満,冷酒 / 常温,東広島市高屋町造賀地区産山田錦100%,720ml,"5,000円",限定流通,2026蔵開き限定・公式ECでは売切,https://shop.kamotsuru.jp/SHOP/2026kurabiraki_6600hukubako.html
賀茂鶴酒造,賀茂鶴,,,純米大吟醸 大吟峰,純米大吟醸,不明,,50％,15度以上16度未満,冷酒 / 燗酒,山田錦100%,"720ml / 1,800ml","4,950～9,900円",一般流通,,https://shop.kamotsuru.jp/SHOP/originalbottle_DK-B1.html
賀茂鶴酒造,賀茂鶴,,,純米大吟醸 広島錦,純米大吟醸,不明,,,,冷酒 / 燗酒,,180ml / 720ml,"1,500～6,600円",一般流通,,https://shop.kamotsuru.jp/SHOP/HK-180.html
賀茂鶴酒造,賀茂鶴,,,純米大吟醸 広島錦 精米歩合38% 超辛口,純米大吟醸,不明,,,,要確認,,720ml,"5,000円",限定流通,2026-09-06現行性を公式情報で再確認,https://shop.kamotsuru.jp/SHOP/hiroshimanishiki38_karakuchi.html
賀茂鶴酒造,賀茂鶴,,,純米大吟醸 広系酒33号,純米大吟醸,不明,,,,要確認,,720ml,"3,300円",限定流通,2026-09-06現行性を公式情報で再確認,https://shop.kamotsuru.jp/SHOP/junmaidaiginjo-hirokei720.html
賀茂鶴酒造,賀茂鶴,,,純米大吟醸 瑞兆賀茂鶴,純米大吟醸,不明,,,,要確認,,720ml,"13,200円",一般流通,公式直営ECで販売中を確認。SKU層から商品層へ補完。,https://shop.kamotsuru.jp/SHOP/zuicho720.html
賀茂鶴酒造,酒中在心,,,酒中在心 鶯 純米大吟醸 山田錦,純米大吟醸,不明,,,,要確認,,720ml,"5,478円",限定流通,公式直営ECで販売中を確認。SKU層から商品層へ補完。,https://shop.kamotsuru.jp/SHOP/shutyuzaishin-uguisu_720.html
白牡丹酒造,白牡丹,,○,大吟醸,大吟醸,やや辛口,+3,40%,17度,常温 / 冷酒,山田錦,"300ml / 720ml / 1,800ml","1,320～6,050円",一般流通,,https://www.hakubotan.co.jp/products/
白牡丹酒造,白牡丹,,○,広島上撰 金紋,普通酒・上撰,やや甘口,-2,70%,15度,冷酒 / 常温 / ぬる燗 / 熱燗,国産米100%,"180ml / 200ml / 300ml / 720ml / 1,800ml / 2,000ml","260～2,387円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e4%b8%8a%e6%92%b0%e3%80%80%e9%87%91%e7%b4%8b-1-8l%e7%93%b6%e8%a9%b0/
白牡丹酒造,白牡丹,,○,純米酒,純米,中口,+0.5,70％,,常温 / ぬる燗 / 熱燗 / 燗酒,国産米,"300ml / 720ml / 1,800ml","490～2,431円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e9%85%92-1-8l%e7%93%b6%e8%a9%b0/
白牡丹酒造,白牡丹,,○,純米吟醸,純米吟醸,中口,+0.5,60％,,常温,山田錦,"720ml / 1,800ml","1,980～3,300円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-1-8l%e7%93%b6%e8%a9%b0/
白牡丹酒造,白牡丹,,○,純米大吟醸 原酒 万年蔵 杜氏 鹿島正,純米大吟醸,甘口,-8,38％,,常温 / ぬる燗 / 燗酒,千本錦,"720ml / 1,800ml","5,500～11,000円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f%e9%86%b8-%e5%8e%9f%e9%85%92-%e4%b8%87%e5%b9%b4%e8%94%b5-%e6%9d%9c%e6%b0%8f-%e9%b9%bf/
白牡丹酒造,白牡丹,,,さらりとうまくち,その他,中口,0,70％,,冷やして / 常温 / ぬる燗 / 熱燗,国産米100％,,,一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e3%81%95%e3%82%89%e3%82%8a%e3%81%a8%e3%81%86%e3%81%be%e3%81%8f%e3%81%a1-720ml%e3%83%91%e3%83%83%e3%82%af%e8%a9%b0/
白牡丹酒造,白牡丹,,,すっきり旨口,その他,やや甘口,-3,75％,,常温 / ぬる燗 / 熱燗,国産米100％,"2,000ml","1,823円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e3%81%99%e3%81%a3%e3%81%8d%e3%82%8a%e6%97%a8%e5%8f%a3-2l%e3%83%91%e3%83%83%e3%82%af%e8%a9%b0/
白牡丹酒造,白牡丹,,,広島の酒,その他,甘口,-5,75％,,常温 / ぬる燗 / 熱燗,国産米100％,"200ml / 300ml / 720ml / 900ml / 1,800ml / 2,000ml","392～2,077円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e3%81%ae%e9%85%92-1-8l%e7%93%b6%e8%a9%b0/
白牡丹酒造,白牡丹,,,広島の酒 原酒,その他,甘口,-7,75％,,冷酒 / 常温 / ぬる燗 / 熱燗 / 燗酒 / ロック,国産米100％,720ml,"1,000円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e3%81%ae%e9%85%92%e5%8e%9f%e9%85%92-720ml%e7%93%b6%e8%a9%b0/
白牡丹酒造,白牡丹,,,恋華 RENKA,その他,甘口,-15,60％,,常温,中生新千本,300ml,550円,一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e6%81%8b%e8%8f%af-300ml%e7%93%b6%e8%a9%b0-2/
白牡丹酒造,白牡丹,,,恋華 RENKA ROUGE,その他,甘口,-15,60％,,常温,中生新千本,300ml,550円,一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e6%81%8b%e8%8f%af-renka-rouge-300ml%e7%93%b6%e8%a9%b0/
白牡丹酒造,白牡丹,,,超特撰,その他,やや辛口,+2,60％,,常温 / ぬる燗 / 熱燗,国産米100％,,,一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e8%b6%85%e7%89%b9%e6%92%b0-1-8l%e7%93%b6%e8%a9%b0-2%e6%9c%ac/
白牡丹酒造,白牡丹,,,超特撰 純金箔入,その他,やや辛口,+2,60％,,常温 / ぬる燗 / 熱燗,国産米100％,"1,800ml","3,630円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e8%b6%85%e7%89%b9%e6%92%b0%e3%80%80%e7%b4%94%e9%87%91%e7%ae%94%e5%85%a5-1-8l%e7%93%b6%e8%a9%b0/
白牡丹酒造,白牡丹,,,大吟醸 いちの雫（しずく酒）,大吟醸,やや辛口,+2.5,40％,,常温 / 冷酒,山田錦,720ml,"11,000円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%a4%a7%e5%90%9f%e9%86%b8%e3%80%80%e3%81%84%e3%81%a1%e3%81%ae%e9%9b%ab720ml%e7%93%b6%e8%a9%b0%ef%bc%88%e3%81%97%e3%81%9a/
白牡丹酒造,白牡丹,,,大吟醸 中汲み,大吟醸,やや辛口,+3,40％,,常温,山田錦,"720ml / 1,800ml","5,500～11,000円",限定流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%a4%a7%e5%90%9f%e9%86%b8-%e4%b8%ad%e6%b1%b2%e3%81%bf-720ml%e7%93%b6%e8%a9%b0%e3%80%90%e6%b5%81%e9%80%9a%e9%99%90%e5%ae%9a/
白牡丹酒造,白牡丹,,,長期低温熟成 大吟醸 FLUSSO,大吟醸,不明,,40％,,常温 / 冷酒,山田錦,500ml,"148,500円",輸出・海外向け,,https://www.hakubotan.co.jp/products/flusso/
白牡丹酒造,白牡丹,,,広島上撰 金紋 原酒,普通酒・上撰,やや甘口,-2,70％,,常温 / ぬる燗 / 熱燗,国産米,720ml,990円,一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e4%b8%8a%e6%92%b0%e3%80%80%e9%87%91%e7%b4%8b%e3%80%80%e5%8e%9f%e9%85%92720ml%e7%93%b6%e8%a9%b0%e3%80%90/
白牡丹酒造,白牡丹,,,広島特撰 芳華金紋,普通酒・上撰,中口,+1,60％,,常温 / ぬる燗 / 熱燗,国産米100％,"300ml / 1,800ml","539～2,794円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%ba%83%e5%b3%b6%e7%89%b9%e6%92%b0-1-8l%e7%93%b6%e8%a9%b0-2/
白牡丹酒造,白牡丹,,,本醸造,本醸造,中口,+1,60％,,常温 / ぬる燗 / 熱燗,国産米100％,"1,800ml","2,844円",一般流通,,https://www.hakubotan.co.jp/products/honjouzou-1-8l/
白牡丹酒造,白牡丹,,,本醸造 生貯蔵酒,本醸造,中口,+0.5,60％,,常温,国産米,180ml / 300ml,352～495円,一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e6%9c%ac%e9%86%b8%e9%80%a0-%e7%94%9f%e8%b2%af%e8%94%b5%e9%85%92-300ml%e7%93%b6%e8%a9%b0/
白牡丹酒造,白牡丹,,,Paeon(ピオン),特別純米,やや甘口,-1.5,60%,16度,常温 / 冷酒,千本錦,500ml,"1,815円",一般流通,,https://www.hakubotan.co.jp/products/%E3%80%90%E6%97%A5%E6%9C%AC%E9%85%92-%E7%99%BD%E7%89%A1%E4%B8%B9%E3%80%91paeon%E3%83%94%E3%82%AA%E3%83%B3%E3%80%90%E6%96%B0%E3%80%91/
白牡丹酒造,白牡丹,,,ひろしま一途な純米酒 紅甘萬(べにかんまん),純米,甘口,-69,70％,,常温 / ぬる燗 / 燗酒,国産米,180ml,440円,一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e3%81%b2%e3%82%8d%e3%81%97%e3%81%be%e4%b8%80%e9%80%94%e3%81%aa%e7%b4%94%e7%b1%b3%e9%85%92%e3%80%80%e7%b4%85%e7%94%98%e8%90%ac/
白牡丹酒造,白牡丹,,,山田錦 純米酒,純米,中口,-1,70％,,常温 / ぬる燗,山田錦,"720ml / 1,800ml","1,430～2,750円",一般流通,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e5%b1%b1%e7%94%b0%e9%8c%a6%e7%b4%94%e7%b1%b3%e9%85%921-8l%e7%93%b6%e8%a9%b0/
白牡丹酒造,白牡丹,,,新酒純米,純米,甘口,-4.5,70％,,常温 / ぬる燗 / 熱燗 / 燗酒,国産米,"300ml / 720ml / 1,800ml","473～2,497円",季節商品,,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e6%96%b0%e9%85%92%e7%b4%94%e7%b1%b3-1-8l%e7%93%b6%e8%a9%b0-2/
